year,country,iso3c,GDP,GDP_2015usd
2020,Belarus,BLR,58482352925,58482352925
2020,Benin,BEN,14725558673,14725558673
2020,Bhutan,BTN,2221963713,2221963713
2020,Bolivia,BOL,34855949803,34855949803
2020,Botswana,BWA,14826671812,14826671812
2020,Brazil,BRA,1.7491E+12,1.7491E+12
2020,Bulgaria,BGR,54923717978,54923717978
2020,Burkina Faso,BFA,15291209207,15291209207
2020,Burundi,BDI,3218331132,3218331132
2020,Cambodia,KHM,23024448759,23024448759
2020,Cameroon,CMR,37686544900,37686544900
2020,Central African Republic,CAF,2004791523,2004791523
2020,Chad,TCD,10357639641,10357639641
2020,China,CHN,1.46165E+13,1.46165E+13
2020,Colombia,COL,2.98742E+11,2.98742E+11
2020,Costa Rica,CRI,61774415011,61774415011
2020,Cote d'Ivoire,CIV,61033878289,61033878289
2020,Cuba,CUB,81054474018,81054474018
2020,Dominican Republic,DOM,83287065055,83287065055
2020,Ecuador,ECU,93781977160,93781977160
2020,"Egypt, Arab Rep.",EGY,4.12246E+11,4.12246E+11
2020,El Salvador,SLV,23560825997,23560825997
2020,Equatorial Guinea,GNQ,9625001914,9625001914
2020,Eritrea,ERI,1411809929,2252986366
2020,Eswatini,SWZ,4319634145,4319634145
2020,Ethiopia,ETH,95071785238,95071785238
2020,Fiji,FJI,4431812577,4431812577
2020,Gabon,GAB,15176119329,15176119329
2020,"Gambia, The",GMB,1674141973,1674141973
2020,Georgia,GEO,16557390869,16557390869
2020,Ghana,GHA,62786746874,62786746874
2020,Guatemala,GTM,69560945138,69560945138
2020,Guinea,GIN,12635273566,12635273566
2020,Honduras,HND,22176498034,22176498034
2020,India,IND,2.50859E+12,2.50859E+12
2020,Indonesia,IDN,1.02766E+12,1.02766E+12
2020,"Iran, Islamic Rep.",IRN,4.47938E+11,4.47938E+11
2020,Iraq,IRQ,1.78917E+11,1.78917E+11
2020,Jordan,JOR,41108073617,41108073617
2020,Kazakhstan,KAZ,2.05829E+11,2.05829E+11
2020,Kenya,KEN,84054150946,84054150946
2020,Kyrgyz Republic,KGZ,7255421236,7255421236
2020,Lao PDR,LAO,18584865506,18584865506
2020,Lesotho,LSO,2213872052,2213872052
2020,Liberia,LBR,3115556272,3115556272
2020,Libya,LBY,46364963765,46364963765
2020,Madagascar,MDG,12244127641,12244127641
2020,Malawi,MWI,7537262760,7537262760
2020,Malaysia,MYS,3.44099E+11,3.44099E+11
2020,Maldives,MDV,3600460153,3600460153
2020,Mali,MLI,15830713977,15830713977
2020,Mauritania,MRT,7206781562,7206781562
2020,Mexico,MEX,1.15042E+12,1.15042E+12
2020,Moldova,MDA,8479779802,8479779802
2020,Mongolia,MNG,13528524725,13528524725
2020,Montenegro,MNE,4048140209,4048140209
2020,Morocco,MAR,1.05726E+11,1.05726E+11
2020,Mozambique,MOZ,17959233845,17959233845
2020,Myanmar,MMR,86343026585,86343026585
2020,Namibia,NAM,10352990575,10352990575
2020,Nepal,NPL,29880062111,29880062111
2020,Nicaragua,NIC,12745084493,12745084493
2020,Niger,NER,12649312791,12649312791
2020,Nigeria,NGA,4.93918E+11,4.93918E+11
2020,Pakistan,PAK,3.20099E+11,3.20099E+11
2020,Papua New Guinea,PNG,23854664089,23854664089
2020,Paraguay,PRY,40343452708,40343452708
2020,Peru,PER,1.9147E+11,1.9147E+11
2020,Philippines,PHL,3.58511E+11,3.58511E+11
2020,Russian Federation,RUS,1.42233E+12,1.42233E+12
2020,Rwanda,RWA,10807279944,10807279944
2020,Sao Tome and Principe,STP,370868352,370868352
2020,Senegal,SEN,22859676611,22859676611
2020,Serbia,SRB,45184791299,45184791299
2020,Sierra Leone,SLE,4976753934,4976753934
2020,Solomon Islands,SLB,1467328739,1467328739
2020,South Africa,ZAF,3.3564E+11,3.3564E+11
2020,South Sudan,SSD,12383192892,11997800760
2020,Sri Lanka,LKA,88853624203,88853624203
2020,Sudan,SDN,81244318743,81244318743
2020,Suriname,SUR,4417127638,4417127638
2020,Syrian Arab Republic,SYR,14544864300,16752517978
2020,Tajikistan,TJK,11425168167,11425168167
2020,Tanzania,TZA,61522709092,61522709092
2020,Thailand,THA,4.31857E+11,4.31857E+11
2020,Timor-Leste,TLS,2093497569,2093497569
2020,Togo,TGO,5187639195,5187639195
2020,Tunisia,TUN,44913489643,44913489643
2020,Turkey,TUR,1.01533E+12,1.01533E+12
2020,Uganda,UGA,40768765940,40768765940
2020,Ukraine,UKR,98118346734,98118346734
2020,Uzbekistan,UZB,1.08164E+11,1.08164E+11
2020,Vanuatu,VUT,817502075,817502075
2020,Venezuela,VEN,2.94284E+11,4.82359E+11
2020,Vietnam,VNM,3.22775E+11,3.22775E+11
2020,"Yemen, Rep.",YEM,34133335016,34133335016
2020,Zambia,ZMB,23418945737,23418945737
2020,Zimbabwe,ZWE,19426048166,19426048166
