ref_area,indicator,source,time,obs_value,obs_status
AFG,LAP_2GDP_NOC_RT,XA:2198,2019,40.82,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2018,40.98,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2017,40.83,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2016,41.01,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2015,41.24,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2014,41.32,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2013,41.27,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2012,40.89,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2011,42.01,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2010,41.12,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2009,40.73,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2008,42.23,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2007,41.55,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2006,42.25,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2005,41.85,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2004,42.65,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2019,45.08,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2018,45.08,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2017,44.78,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2016,44.36,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2015,47.32,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2014,39.81,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2013,43.24,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2012,46.37,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2011,49.4,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2010,49.8,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2009,58.74,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2008,40.24,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2007,37.54,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2006,35.48,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2005,34.17,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2004,39.72,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2019,46.74,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2018,46.32,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2017,46.47,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2016,46.68,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2015,46.97,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2014,47.04,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2013,47.33,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2012,47.42,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2011,47.03,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2010,46.51,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2009,46.66,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2008,45.73,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2007,46.02,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2006,46.07,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2005,46.23,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2004,46.27,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2019,36.73,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2018,36.72,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2017,36.48,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2016,36.32,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2015,34.38,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2014,28.85,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2013,27.95,I
